Store Name,Address,State,City,Pin Code,Timings,"Coordinates(Latitude,Longitude)",Phone Number
Raymond Made to Measure,"Raymond Made To Measure, 109A First Floor -Orion Mall at Brigade Gateway Campus, 26/1, Dr. Raj Kumar Road, Malleshwaram (W), Bangalore -560055, Karnataka",Karnataka,Bangalore,560055,11:00 AM TO 9:00 PM,"13.0112928,77.5569265",080-226822169
Raymond Made to Measure,"Raymond Made To Measure, 14 B, Khan Market, Subrahmaniam Bharti Marg, New Delhi -110003",Delhi,Newdelhi,110003,11:00 AM TO 9:00 PM,"28.599797,77.2266984",011-47340319
Raymond Made to Measure,"17A, Upper Ground Floor, Block-A, World Trade Park, Jawahar Lal Nehru Marg., Malviya Nagar",Rajasthan,Jaipur,302017,11:00 AM TO 9:00 PM,"26.853481641431628,75.80272554424027","0141-2728134, 9958899311"
Raymond Made to Measure,"Raymond Made To Measure ,Unit No 11 & 12, Vr Bengaluru, Upper Ground Floor, Whitefield Road, Mahadevpura, Bangalore 48",Karnataka,Bangalore,560048,11:00 AM TO 9:00 PM,"12.9853591,77.7081261",
Raymond Made to Measure,"Raymond Made To Measureraymond Made To Measure / No.Ab-3, 2Nd Avenue, / Chennai-600040",Tamil Nadu,Chennai,600040,11:00 AM TO 9:00 PM,"13.0845369,80.212358","044-42054020, 9845571769"
Raymond Made to Measure,"Raymond Made To Measures 57, Second Floor, Lulu Mall, Nh 17, Edapally, Cochin-682024",Kerala,Cochin,682024,11:00 AM TO 9:00 PM,"10.0274398,76.3078531",0484-4099916
Raymond Made to Measure,"Raymond Made To Measure,F 373, Second Floor, Mall Of India, Noida",Uttar Pradesh,Noida,201301,11:00 AM TO 9:00 PM,"28.5675625,77.3190415","0120-6662337, 9845571769"
Raymond Made to Measure,"Raymond - Made To Measure, 167, Unit No. 217, 33, Second Floor, Quest Mall, Syed Amir Ali Avenue, Kolkata - 700017, West Bengal",West Bengal,Kolkata,700017,11:00 AM TO 9:00 PM,"22.53876651,88.36563192","033-40631384, 9310068177"
Raymond Made to Measure,"Raymond Made To Measure / Amanora Town Centre, Ground Floor,Pune-411028",Maharashtra,Pune,411028,11:00 AM TO 9:00 PM,"18.5189222,73.9338211",020-67278635
Raymond Made to Measure,"Raymond Made-To-Measure, Rtw Indiranagar,100 Feet Road, Indiranagar, Bangalore - 560038",Karnataka,Bangalore,560038,11:00 AM TO 9:00 PM,"12.9695166,77.6412333",080-25252875
